ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,87.69,0.00,237.00,25.00,41.00
2.00,0.00,87.08,0.00,237.00,23.00,41.00
2.00,0.00,86.55,0.00,237.00,26.00,41.00
2.00,0.00,85.76,-150.00,237.00,27.00,41.00
2.00,0.00,85.14,-50.00,237.00,28.00,41.00
2.00,0.00,84.52,-100.00,237.00,24.00,41.00
2.00,0.00,84.00,-100.00,237.00,30.00,41.00
2.00,0.00,83.38,-100.00,237.00,35.00,41.00
2.00,0.00,82.77,-100.00,237.00,31.00,41.00
2.00,0.00,82.15,-50.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,29.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,41.00
2.00,0.00,81.97,0.00,237.00,30.00,42.00
2.00,0.00,81.97,0.00,237.00,30.00,42.00
2.00,0.00,81.97,0.00,237.00,38.00,41.00
2.00,0.00,81.97,0.00,237.00,51.00,41.00
2.00,0.00,81.97,0.00,236.00,68.00,41.00
2.00,0.00,81.97,0.00,235.00,85.00,42.00
2.00,0.00,81.97,0.00,235.00,106.00,42.00
2.00,0.00,81.97,0.00,234.00,128.00,42.00
2.00,0.00,81.97,0.00,233.00,150.00,42.00
2.00,0.00,81.97,0.00,233.00,178.00,42.00
2.00,0.00,81.97,0.00,232.00,204.00,42.00
2.00,0.00,81.97,0.00,231.00,225.00,42.00
2.00,0.00,82.50,50.00,233.00,193.00,42.00
2.00,0.00,83.38,0.00,231.00,156.00,42.00
2.00,0.00,84.44,300.00,233.00,139.00,42.00
2.00,0.00,85.58,350.00,233.00,158.00,42.00
2.00,0.00,86.37,0.00,234.00,135.00,42.00
2.00,0.00,86.72,0.00,233.00,162.00,42.00
2.00,0.00,86.72,0.00,232.00,187.00,42.00
2.00,0.00,86.72,0.00,231.00,214.00,42.00
2.00,0.00,86.72,0.00,231.00,247.00,42.00
2.00,0.00,86.72,0.00,229.00,22.00,42.00
2.00,0.00,86.72,0.00,228.00,59.00,42.00
2.00,0.00,86.72,0.00,227.00,92.00,42.00
2.00,0.00,86.72,0.00,227.00,107.00,42.00
2.00,0.00,86.72,0.00,227.00,104.00,42.00
2.00,0.00,86.72,0.00,227.00,251.00,42.00
2.00,0.00,89.54,250.00,229.00,40.00,42.00
2.00,0.00,91.56,900.00,232.00,141.00,42.00
2.00,0.00,93.85,650.00,235.00,76.00,42.00
2.00,0.00,95.87,350.00,236.00,62.00,42.00
2.00,0.00,96.57,100.00,235.00,82.00,42.00
2.00,0.00,96.57,0.00,235.00,100.00,42.00
2.00,0.00,96.49,0.00,234.00,126.00,42.00
2.00,0.00,96.49,0.00,234.00,81.00,42.00
2.00,0.00,97.89,300.00,235.00,109.00,42.00
2.00,0.00,97.89,0.00,234.00,133.00,42.00
2.00,0.00,97.89,0.00,233.00,154.00,42.00
2.00,0.00,97.89,0.00,232.00,183.00,42.00
2.00,0.00,97.89,0.00,232.00,208.00,42.00
2.00,0.00,99.39,700.00,233.00,158.00,42.00
2.00,0.00,100.62,150.00,234.00,121.00,42.00
2.00,0.00,101.59,0.00,235.00,95.00,42.00
2.00,0.00,102.38,50.00,235.00,88.00,42.00
2.00,0.00,103.00,100.00,235.00,108.00,42.00
2.00,0.00,103.00,0.00,234.00,128.00,42.00
2.00,0.00,103.00,0.00,234.00,153.00,42.00
2.00,0.00,103.08,0.00,233.00,173.00,42.00
2.00,0.00,103.08,0.00,232.00,198.00,42.00
2.00,0.00,103.08,0.00,231.00,230.00,42.00
2.00,0.00,104.49,600.00,234.00,162.00,42.00
2.00,0.00,105.02,50.00,235.00,101.00,42.00
2.00,0.00,107.04,250.00,236.00,83.00,42.00
2.00,0.00,108.36,0.00,236.00,68.00,42.00
2.00,0.00,109.15,0.00,235.00,86.00,42.00
2.00,0.00,109.50,100.00,236.00,82.00,42.00
2.00,0.00,110.38,0.00,236.00,68.00,42.00
2.00,0.00,110.91,0.00,235.00,88.00,42.00
2.00,0.00,110.91,0.00,235.00,106.00,42.00
2.00,0.00,110.91,0.00,234.00,126.00,42.00
2.00,0.00,110.91,0.00,234.00,151.00,42.00
2.00,0.00,110.91,0.00,235.00,104.00,42.00
2.00,0.00,112.49,50.00,234.00,87.00,42.00
2.00,0.00,113.99,400.00,236.00,65.00,42.00
2.00,0.00,115.31,200.00,237.00,45.00,42.00
2.00,0.00,116.01,0.00,237.00,34.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,34.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,35.00,42.00
2.00,0.00,116.63,0.00,237.00,25.00,42.00
2.00,0.00,116.63,0.00,238.00,17.00,42.00
2.00,0.00,116.63,0.00,239.00,11.00,42.00
2.00,0.00,116.28,-100.00,239.00,9.00,42.00
2.00,0.00,115.84,0.00,239.00,9.00,42.00
2.00,0.00,115.13,-50.00,239.00,14.00,42.00
2.00,0.00,114.43,-100.00,239.00,15.00,42.00
2.00,0.00,113.73,-100.00,239.00,12.00,42.00
2.00,0.00,113.20,-200.00,239.00,11.00,42.00
2.00,0.00,112.76,-150.00,239.00,16.00,42.00
2.00,0.00,112.05,-150.00,239.00,12.00,41.00
2.00,0.00,111.53,-150.00,239.00,13.00,42.00
2.00,0.00,111.09,-50.00,239.00,13.00,42.00
2.00,0.00,110.82,-50.00,239.00,11.00,42.00
2.00,0.00,110.12,-150.00,239.00,15.00,42.00
2.00,0.00,109.33,-200.00,239.00,16.00,42.00
2.00,0.00,108.54,-100.00,240.00,15.00,42.00
2.00,0.00,108.01,-100.00,239.00,17.00,42.00
2.00,0.00,107.57,-100.00,239.00,20.00,42.00
2.00,0.00,106.87,-100.00,238.00,20.00,42.00
2.00,0.00,106.07,-100.00,237.00,22.00,42.00
2.00,0.00,105.46,-200.00,237.00,22.00,42.00
2.00,0.00,105.11,-50.00,239.00,17.00,42.00
2.00,0.00,104.67,-100.00,239.00,17.00,42.00
2.00,0.00,104.14,-200.00,239.00,17.00,42.00
2.00,0.00,103.61,-50.00,239.00,18.00,42.00
2.00,0.00,103.00,-100.00,239.00,14.00,42.00
2.00,0.00,102.38,-200.00,239.00,19.00,42.00
2.00,0.00,101.76,-100.00,239.00,20.00,42.00
2.00,0.00,101.06,-150.00,237.00,24.00,42.00
2.00,0.00,100.36,-200.00,237.00,26.00,42.00
2.00,0.00,99.92,-50.00,237.00,23.00,42.00
2.00,0.00,99.39,-50.00,237.00,21.00,42.00
2.00,0.00,98.86,-100.00,237.00,20.00,42.00
2.00,0.00,98.25,-100.00,237.00,24.00,42.00
2.00,0.00,97.45,-150.00,238.00,25.00,42.00
2.00,0.00,96.93,-200.00,237.00,24.00,42.00
2.00,0.00,96.57,0.00,237.00,24.00,42.00
2.00,0.00,96.13,0.00,239.00,22.00,42.00
2.00,0.00,95.61,-50.00,237.00,21.00,42.00
2.00,0.00,94.82,-100.00,238.00,24.00,42.00
2.00,0.00,94.29,-150.00,237.00,28.00,42.00
2.00,0.00,93.58,-100.00,237.00,24.00,42.00
2.00,0.00,92.88,-100.00,237.00,23.00,42.00
2.00,0.00,92.44,-150.00,238.00,23.00,42.00
2.00,0.00,91.91,-150.00,238.00,24.00,42.00
2.00,0.00,91.39,-200.00,237.00,27.00,42.00
2.00,0.00,90.51,-200.00,237.00,25.00,42.00
2.00,0.00,89.89,-100.00,237.00,34.00,42.00
2.00,0.00,89.45,-50.00,237.00,33.00,42.00
2.00,0.00,88.92,-50.00,237.00,29.00,42.00
2.00,0.00,88.48,-100.00,238.00,26.00,42.00
2.00,0.00,88.13,-100.00,237.00,24.00,42.00
2.00,0.00,87.52,0.00,237.00,23.00,42.00
2.00,0.00,86.81,-200.00,238.00,22.00,42.00
2.00,0.00,86.20,-200.00,237.00,28.00,42.00
2.00,0.00,85.58,-50.00,237.00,27.00,42.00
2.00,0.00,85.05,0.00,237.00,26.00,42.00
2.00,0.00,84.35,-150.00,237.00,24.00,42.00
2.00,0.00,83.82,-200.00,237.00,32.00,42.00
2.00,0.00,83.38,0.00,237.00,30.00,42.00
2.00,0.00,82.77,0.00,237.00,29.00,42.00
2.00,0.00,81.97,-50.00,237.00,29.00,42.00
2.00,0.00,81.97,0.00,237.00,31.00,42.00
2.00,0.00,81.89,-50.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,30.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,42.00
2.00,0.00,81.89,0.00,237.00,31.00,43.00
2.00,0.00,81.89,0.00,237.00,30.00,43.00
2.00,0.00,81.89,0.00,237.00,31.00,43.00
2.00,0.00,81.89,0.00,237.00,39.00,43.00
2.00,0.00,81.89,0.00,237.00,52.00,43.00
2.00,0.00,81.89,0.00,236.00,69.00,43.00
2.00,0.00,81.89,0.00,235.00,85.00,43.00
2.00,0.00,81.89,0.00,235.00,107.00,43.00
2.00,0.00,81.89,0.00,234.00,126.00,43.00
2.00,0.00,81.97,0.00,234.00,146.00,43.00
2.00,0.00,81.97,0.00,233.00,173.00,43.00
2.00,0.00,81.97,0.00,232.00,199.00,43.00
2.00,0.00,81.97,0.00,231.00,227.00,43.00
2.00,0.00,81.97,0.00,229.00,253.00,43.00
2.00,0.00,82.68,350.00,232.00,203.00,43.00
2.00,0.00,83.56,50.00,231.00,233.00,43.00
2.00,0.00,84.96,600.00,233.00,176.00,43.00
2.00,0.00,86.11,250.00,233.00,153.00,43.00
2.00,0.00,86.20,0.00,234.00,136.00,43.00
2.00,0.00,87.16,0.00,233.00,161.00,43.00
2.00,0.00,87.16,0.00,232.00,185.00,43.00
2.00,0.00,87.16,0.00,232.00,216.00,43.00
2.00,0.00,87.16,0.00,230.00,245.00,43.00
2.00,0.00,87.16,0.00,230.00,24.00,43.00
2.00,0.00,87.78,0.00,232.00,223.00,43.00
2.00,0.00,88.66,0.00,231.00,212.00,43.00
2.00,0.00,90.51,650.00,232.00,151.00,43.00
2.00,0.00,91.74,450.00,234.00,150.00,43.00
2.00,0.00,93.14,500.00,234.00,120.00,42.00
2.00,0.00,93.14,0.00,234.00,142.00,43.00
2.00,0.00,93.23,0.00,233.00,165.00,43.00
2.00,0.00,93.23,0.00,232.00,194.00,43.00
2.00,0.00,93.23,0.00,231.00,220.00,43.00
2.00,0.00,93.23,0.00,231.00,249.00,43.00
2.00,0.00,93.23,0.00,229.00,28.00,43.00
2.00,0.00,93.23,0.00,228.00,59.00,43.00
2.00,0.00,93.32,0.00,232.00,223.00,43.00
2.00,0.00,95.08,0.00,231.00,156.00,43.00
2.00,0.00,97.63,500.00,234.00,98.00,43.00
2.00,0.00,99.92,400.00,236.00,58.00,43.00
2.00,0.00,101.32,200.00,236.00,70.00,43.00
2.00,0.00,101.32,0.00,235.00,86.00,43.00
2.00,0.00,101.32,0.00,235.00,107.00,43.00
2.00,0.00,101.32,0.00,234.00,126.00,43.00
2.00,0.00,101.32,0.00,233.00,148.00,43.00
2.00,0.00,101.32,0.00,233.00,175.00,43.00
2.00,0.00,101.32,0.00,232.00,200.00,43.00
2.00,0.00,101.32,0.00,231.00,227.00,43.00
2.00,0.00,101.68,0.00,234.00,173.00,43.00
2.00,0.00,103.17,0.00,235.00,101.00,43.00
2.00,0.00,105.63,250.00,236.00,65.00,43.00
2.00,0.00,107.39,350.00,237.00,52.00,43.00
2.00,0.00,108.01,0.00,236.00,69.00,43.00
2.00,0.00,108.01,0.00,235.00,87.00,43.00
2.00,0.00,108.01,0.00,235.00,106.00,43.00
2.00,0.00,108.01,0.00,234.00,125.00,43.00
2.00,0.00,108.01,0.00,234.00,150.00,43.00
2.00,0.00,108.01,0.00,233.00,173.00,43.00
2.00,0.00,108.01,0.00,232.00,202.00,43.00
2.00,0.00,109.15,500.00,233.00,161.00,43.00
2.00,0.00,110.21,50.00,234.00,95.00,43.00
2.00,0.00,112.23,450.00,236.00,57.00,43.00
2.00,0.00,113.99,300.00,237.00,33.00,43.00
2.00,0.00,115.13,50.00,238.00,32.00,43.00
2.00,0.00,115.66,0.00,237.00,46.00,43.00
2.00,0.00,115.66,0.00,236.00,57.00,43.00
2.00,0.00,115.66,0.00,237.00,56.00,43.00
2.00,0.00,115.66,0.00,236.00,55.00,43.00
2.00,0.00,115.66,0.00,237.00,55.00,43.00
2.00,0.00,115.66,0.00,237.00,55.00,43.00
2.00,0.00,115.66,0.00,236.00,56.00,43.00
2.00,0.00,115.66,0.00,236.00,55.00,43.00
2.00,0.00,115.66,0.00,236.00,55.00,43.00
2.00,0.00,115.66,0.00,237.00,55.00,43.00
2.00,0.00,115.66,0.00,237.00,56.00,43.00
